date,AAPL,ABBV,ABT,ADI,AGG,AMAT,AMD,AMGN,AMZN,ANET,APH,ARKK,ASML,AVGO,AXP,BA,BABA,BAC,BHP,BIL,BKLN,BND,BRK.B,BUD,BX,C,CAT,CHW,COST,CRM,CSCO,CVX,DE,DHR,DIS,E,EEM,EFA,EMB,ETN,EWJ,EWY,EWZ,FXI,GDX,GILD,GLD,GLDM,GOOG,GOOGL,GOVT,GS,HD,HDB,HON,HSBC,HYG,IAU,IAUM,IBM,IEF,IEFA,IEMG,IGV,IJH,INDA,INTC,ISRG,IVV,IWM,IYR,JAAA,JNJ,JPM,JPST,KO,KRE,KWEB,LLY,LMT,LOW,LQD,LRCX,MA,MCD,MRK,MS,MSFT,MU,MUFG,NEE,NFLX,NVDA,NVO,NVS,ORCL,PDD,PEP,PFE,PG,PM,QCOM,QQQ,QYLD,RIO,RSP,RTX,SAN,SAP,SCCO,SCHB,SCHD,SCHF,SCHG,SCHH,SCHX,SGOL,SGOV,SHEL,SILJ,SLV,SMFG,SMH,SPY,T,TD,TJX,TLT,TMO,TMUS,TSLA,TSM,TTE,TXN,UBER,UL,UNG,UNH,UNP,USHY,V,VCIT,VEA,VOO,VTEB,VWO,VXUS,VZ,WELL,WFC,XBI,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOM
2022-02-01,174.61,137.0,127.2,165.37,111.6,138.61,116.78,228.68,151.1935,124.3,79.12,77.08,681.48,592.72,183.54,208.34,127.22,46.94,65.02,91.42,22.01,82.83,313.96,63.67,134.95,66.56,205.35,9.42,508.41,232.12,55.37,134.79,377.88,287.29,144.49,30.34,49.14,76.54,105.28,159.39,64.1,72.98,32.16,38.19,30.53,68.47,168.23,17.89,137.8785,137.644,25.91,364.06,368.7,68.68,205.34,36.88,84.73,34.27,18.005,135.53,112.31,72.32,59.92,357.13,265.23,45.89,48.95,286.51,454.89,203.36,105.99,50.45,170.88,151.15,50.43,60.56,72.68,37.66,248.28,387.01,238.35,127.73,589.47,392.06,258.99,81.92,103.95,308.76,81.45,6.21,77.23,457.13,246.38,102.6,88.18,81.04,59.6,172.34,53.07,159.74,103.25,177.13,365.52,20.87,74.2,156.85,90.73,3.62,127.68,65.16,107.09,79.09,37.89,150.34,48.17,108.15,17.28,100.0268,52.68,11.56,20.94,7.32,276.58,452.95,24.42,81.54,72.8,141.72,594.31,109.55,931.25,123.05,57.9,181.29,38.61,51.13,17.1,468.41,246.71,40.05,232.36,90.35,49.58,416.39,53.55,49.96,62.3,53.2,84.66,55.6,94.94,85.75,74.59,68.27,39.6,102.13,162.39,75.9,47.02,68.33,131.58,186.07,80.83
2022-02-02,175.84,138.62,130.04,168.91,111.72,140.76,122.76,228.93,150.6125,125.61,80.45,73.14,686.75,603.43,184.16,207.52,122.88,46.89,65.52,91.43,22.04,82.95,319.6,63.86,137.98,66.23,204.94,9.42,522.02,225.01,56.17,135.41,374.48,294.43,142.62,30.43,49.06,77.11,105.76,161.41,65.08,73.5,31.94,37.86,30.63,65.82,168.84,17.97,148.0365,148.0,25.95,363.06,373.73,69.68,207.55,37.23,84.86,34.38,18.0556,137.25,112.54,72.93,59.86,353.52,265.29,46.16,49.51,292.94,459.26,201.34,107.46,50.47,172.77,149.94,50.43,61.18,72.49,36.57,250.83,387.34,239.11,127.74,611.77,396.75,262.28,82.01,103.92,313.46,84.51,6.44,77.73,429.48,252.42,106.59,85.91,82.5,57.79,175.47,53.86,162.6,103.9,188.2,368.49,20.95,74.29,157.87,92.54,3.64,127.15,64.03,107.73,79.73,38.19,151.16,48.87,108.98,17.35,100.02,53.25,11.4,20.93,7.48,283.64,457.35,24.54,83.05,72.03,142.2,604.13,109.58,905.66,124.15,57.29,187.84,37.17,51.2,18.98,479.78,251.26,40.08,235.42,90.41,49.98,420.36,53.68,49.87,62.62,53.8,84.85,55.93,91.85,86.02,76.08,68.49,39.87,102.84,163.71,76.81,47.83,69.34,133.35,184.96,80.62
2022-02-03,172.9,140.73,130.11,162.02,111.27,136.51,120.08,224.04,138.8455,122.22,79.07,69.04,645.93,580.85,184.04,206.39,123.47,46.43,65.74,91.43,21.99,82.6,315.23,61.75,134.09,65.26,200.59,9.27,521.77,212.77,55.2,134.2,370.89,289.91,140.03,30.63,48.54,75.89,104.85,156.83,63.72,71.98,31.69,37.63,30.25,65.39,168.6,17.94,142.6505,143.09,25.87,358.88,364.81,68.72,191.74,36.94,84.1,34.36,18.0529,137.78,112.06,71.73,59.22,339.99,261.01,45.53,48.28,285.6,448.6,197.53,106.11,50.457,172.76,148.7,50.435,61.61,72.07,35.84,244.81,389.7,234.11,126.71,588.76,390.07,260.64,79.01,102.29,301.25,81.97,6.32,75.77,405.6,239.48,104.63,86.42,81.94,55.13,175.37,53.38,164.14,103.81,179.1,353.55,20.48,73.47,155.87,92.81,3.76,123.81,63.18,105.16,78.85,37.6,145.48,48.32,106.34,17.33,100.02,53.91,11.08,20.71,7.27,271.06,446.6,24.56,82.89,69.81,141.09,594.93,120.78,891.14,119.84,57.21,175.59,34.54,51.78,17.24,488.77,244.35,39.77,231.54,89.9,49.18,410.59,53.73,49.45,61.78,53.79,82.76,55.17,89.44,84.52,70.99,67.84,39.43,101.2,158.96,76.83,47.34,69.03,132.78,179.3,79.68
2022-02-04,172.39,140.65,129.71,161.03,110.57,135.57,123.6,222.11,157.6395,122.32,78.76,72.75,652.81,590.16,185.85,206.45,122.22,48.28,66.16,91.41,22.04,82.09,314.99,61.15,132.25,66.08,198.41,9.37,519.77,219.23,55.15,135.88,369.49,287.63,142.02,30.88,48.66,76.07,104.35,151.0,64.22,72.72,31.68,37.98,30.4,63.9,168.86,17.97,143.016,143.293,25.71,367.6,359.67,68.87,191.5,37.1,83.77,34.39,18.075,137.15,111.2,71.86,59.4,351.06,261.48,45.38,48.01,285.73,450.85,198.38,105.13,50.4758,171.63,152.56,50.41,60.96,73.45,36.44,242.27,389.33,229.07,125.45,579.07,382.2,260.06,78.56,104.11,305.94,81.17,6.4,76.01,410.17,243.19,99.67,86.28,82.11,55.85,172.49,53.0,161.53,103.59,179.47,358.01,20.7,73.89,155.73,93.01,3.81,126.14,63.21,105.87,78.54,37.66,147.86,47.83,107.01,17.35,100.0187,55.1,11.18,20.79,7.35,272.53,448.7,24.08,82.79,69.18,139.01,594.42,120.94,923.32,121.02,58.37,171.42,37.05,51.4,15.84,483.17,242.39,39.59,228.39,89.32,49.31,412.52,53.68,49.48,61.88,53.31,80.43,56.33,90.79,83.12,71.17,68.9,40.1,100.11,159.6,75.89,46.69,68.48,132.3,184.4,81.41
2022-02-07,171.66,142.53,128.05,160.82,110.67,136.13,123.67,223.53,157.9355,122.17,77.97,72.48,650.0301,587.63,187.87,211.92,114.82,48.51,68.45,91.41,22.04,82.16,316.51,61.49,131.64,66.36,199.82,9.38,515.89,216.97,55.17,138.55,372.2,285.15,142.51,30.17,48.56,76.2,104.23,150.13,64.26,72.96,32.05,37.75,31.3,63.76,170.11,18.11,138.938,139.201,25.71,368.15,357.35,67.38,192.48,37.55,83.71,34.66,18.21,137.24,111.23,71.96,59.35,349.13,261.63,44.93,48.18,284.89,449.25,199.36,104.95,50.43,171.06,153.07,50.42,61.6,73.8,35.58,243.55,392.34,227.02,125.68,571.37,376.13,259.85,77.58,105.18,300.95,80.87,6.51,75.68,402.1,247.28,101.76,87.21,80.74,53.33,171.81,53.21,160.32,103.58,175.09,355.13,20.66,76.64,155.83,94.03,3.81,126.89,63.67,105.59,78.74,37.74,146.65,47.75,106.7,17.47,100.025,55.71,11.76,21.27,7.6,272.96,447.26,23.93,83.77,69.35,139.1,587.05,122.05,907.34,122.31,58.59,169.95,37.54,52.25,14.99,483.7,241.15,39.58,227.16,89.4,49.4,411.16,53.66,49.48,61.97,53.0,80.73,57.33,93.25,82.71,69.93,69.78,40.22,100.19,158.54,76.03,46.7,68.38,132.07,184.02,82.39
2022-02-08,174.83,143.51,128.65,163.13,110.33,138.75,128.23,241.01,161.4135,123.36,78.65,72.39,653.47,600.22,194.0,213.27,121.9,49.38,69.16,91.42,22.0,81.89,321.44,62.07,128.71,67.12,201.5,9.45,521.15,217.43,55.34,136.44,389.88,285.62,142.48,30.03,49.03,76.59,103.96,151.5,64.63,73.18,32.11,38.12,31.65,63.7,170.63,18.15,139.213,139.399,25.66,370.1,361.44,67.37,194.56,38.25,83.62,34.73,18.27,137.02,110.87,72.34,59.86,353.11,266.49,45.09,48.81,283.39,452.82,202.76,104.4,50.45,171.51,155.95,50.4,62.0,75.63,37.03,239.91,396.04,231.76,125.21,576.29,374.37,260.08,76.91,106.35,304.56,84.12,6.6,75.46,403.53,251.08,101.55,87.15,80.79,60.16,172.02,51.7,159.96,103.85,178.59,359.12,20.83,78.1,157.26,95.07,3.91,125.69,65.62,106.57,79.38,37.93,148.22,47.47,107.6,17.54,100.0226,54.65,11.96,21.45,7.7,278.55,450.94,23.94,84.63,70.44,138.17,587.53,125.44,922.0,123.71,58.84,172.63,38.34,52.3,14.72,493.41,242.95,39.54,227.94,89.15,49.64,414.49,53.59,49.93,62.33,52.82,79.99,58.75,92.94,83.99,69.9,68.28,40.78,101.19,160.5,76.32,46.28,68.43,133.15,186.61,80.26
2022-02-09,176.28,143.2,130.49,168.21,110.4,144.2,132.85,237.19,161.1895,129.44,79.99,76.11,680.37,611.34,196.4,215.86,126.5,49.28,68.9,91.41,22.05,81.95,322.38,61.86,134.6,67.84,203.6,9.64,528.83,222.04,56.29,137.79,395.4,292.01,147.23,30.25,49.8,77.83,104.33,156.85,65.52,74.5,32.22,38.77,31.59,63.38,171.21,18.22,141.453,141.592,25.655,374.53,364.37,69.47,196.62,37.8,84.06,34.87,18.325,137.79,111.02,73.51,60.78,364.42,271.29,45.68,49.91,292.18,459.5,206.61,106.79,50.47,171.49,156.6,50.42,61.04,74.99,38.46,243.27,394.54,233.66,125.63,607.44,381.37,259.86,76.53,108.73,311.21,88.12,6.58,76.66,412.89,267.05,105.92,87.2,83.45,62.28,171.94,51.47,159.6,104.1,183.95,366.73,21.03,78.33,159.92,96.0,3.94,126.29,67.82,108.26,79.75,38.53,151.21,48.57,109.31,17.58,100.025,54.76,11.99,21.53,7.62,288.25,457.54,24.5,84.65,71.47,138.43,589.85,128.08,932.0,125.52,60.03,176.71,40.19,52.14,14.05,498.1,246.49,39.75,230.87,89.35,50.43,420.57,53.51,50.67,63.35,53.5,81.8,59.06,97.26,85.82,71.87,68.85,41.04,102.58,164.06,76.34,47.4,68.73,134.18,189.08,79.0
2022-02-10,172.12,142.71,127.76,161.67,109.38,139.77,125.77,228.82,159.0035,127.07,77.6,73.76,656.88,591.36,195.51,218.75,123.98,49.05,69.94,91.41,21.96,81.2,319.85,63.68,134.53,67.5,203.07,9.56,518.48,217.67,54.87,136.04,393.15,282.2,152.16,30.14,49.47,76.84,102.96,154.79,64.48,73.64,32.43,38.3,30.69,61.79,170.56,18.16,138.6025,138.62,25.44,370.57,355.09,67.57,191.75,37.86,82.95,34.73,18.27,133.52,110.0,72.59,60.35,358.68,267.42,45.06,48.86,292.49,451.38,203.44,104.12,50.43,169.42,155.95,50.39,61.38,74.81,37.83,239.64,385.43,227.4,123.92,594.87,374.39,256.87,76.56,107.57,302.38,91.02,6.54,75.45,406.27,258.24,104.06,85.83,81.85,63.2,168.37,50.6,157.17,105.07,174.07,358.43,20.82,78.96,157.4,95.06,3.98,123.85,67.2,106.45,78.41,38.07,147.98,47.34,107.4,17.53,100.02,54.52,11.73,21.42,7.59,279.62,449.32,24.25,84.78,70.64,136.23,580.28,125.13,904.55,124.71,59.04,170.66,37.75,51.22,13.89,486.72,242.12,39.21,225.59,88.42,49.84,413.18,53.27,50.39,62.63,53.04,80.68,59.05,94.36,85.32,70.84,68.42,40.68,100.9,159.77,75.52,46.05,66.99,132.08,185.82,78.24
2022-02-11,168.64,142.01,125.49,153.9,110.1,132.49,113.18,228.2,153.2935,120.92,75.18,71.9,628.24,573.42,191.81,212.3,122.25,47.92,68.91,91.41,21.94,81.73,319.14,62.57,123.57,67.15,201.24,9.14,509.67,207.9,53.9,138.81,392.67,272.66,149.47,30.8,48.72,75.68,102.36,150.66,63.96,72.9,32.52,37.65,32.43,62.07,173.81,18.5,134.13,134.2825,25.62,363.06,350.29,66.57,186.99,37.81,82.66,35.41,18.6062,132.69,111.14,71.51,59.43,346.31,263.94,44.17,47.63,283.16,442.35,201.38,103.04,50.45,167.71,153.92,50.39,60.29,74.19,36.53,235.74,396.19,225.91,124.84,559.99,369.77,255.16,76.64,104.57,295.04,89.76,6.47,74.96,391.31,239.49,98.91,85.57,79.75,60.0,168.58,50.78,156.29,107.96,164.64,347.06,20.38,77.79,155.32,95.27,3.85,120.34,67.17,104.37,77.87,37.55,143.68,46.96,105.22,17.86,100.01,55.21,12.4,21.83,7.54,265.25,440.46,24.13,84.58,68.7,138.25,566.29,124.48,860.0,121.01,58.65,164.4,35.29,52.73,13.95,478.13,238.81,39.1,224.69,89.01,49.15,404.94,53.2,49.61,61.77,53.32,80.11,58.31,93.35,84.0,69.31,70.41,40.11,99.36,154.89,75.25,45.42,67.03,130.25,180.48,80.21
2022-02-14,168.88,143.0,122.78,153.98,109.46,131.86,114.27,224.27,155.167,122.82,75.31,71.39,627.91,578.58,192.35,210.04,121.92,47.42,68.26,91.4,21.85,81.27,314.28,61.8,121.2,66.46,199.89,8.81,506.56,206.4,53.18,136.67,387.26,271.5,150.85,30.34,48.38,75.19,102.75,152.17,63.96,72.24,32.77,37.29,33.09,61.11,174.74,18.59,135.3,135.526,25.495,360.24,351.56,65.94,186.69,37.53,82.52,35.58,18.72,130.15,110.37,71.05,59.0,345.5,263.08,43.4,47.58,281.14,440.91,200.68,102.08,50.42,165.6,152.49,50.36,60.68,73.61,36.28,234.69,386.97,225.95,123.73,558.25,374.16,253.39,76.47,102.57,295.0,89.86,6.62,74.92,396.57,242.67,98.14,85.69,78.95,59.16,166.7,49.8,156.74,109.24,165.13,347.49,20.41,78.37,154.08,93.57,3.81,118.35,66.31,103.99,77.27,37.33,143.84,46.5,104.87,17.95,100.02,54.38,12.59,22.05,7.5,265.07,439.02,24.05,83.43,67.99,136.53,561.19,125.51,875.76,119.77,58.33,162.47,34.59,51.6,14.55,474.4,242.55,39.05,225.34,88.49,48.86,403.62,53.07,49.24,61.4,53.27,79.67,57.85,91.81,83.31,69.32,68.75,39.66,98.99,154.84,75.04,44.93,66.46,128.92,181.51,78.98
